Times;CH1 CH 1;CH2 CH 2;CH3 CH 3;CH4 CH 4
25.062 000 ms;1;1;0;1
25.062 600 ms;1;0;0;1
25.063 000 ms;1;1;0;1
25.063 600 ms;1;0;0;1
25.064 000 ms;1;1;0;1
25.064 600 ms;1;0;0;1
25.065 000 ms;1;1;0;1
25.068 200 ms;1;0;0;1
25.068 600 ms;1;1;0;1
25.069 200 ms;1;0;0;1
25.069 600 ms;1;1;0;1
25.070 200 ms;1;0;0;1
25.070 600 ms;1;1;0;1
25.071 200 ms;1;0;0;1
25.071 600 ms;1;1;0;1
25.072 200 ms;1;0;0;1
25.072 600 ms;1;1;0;1
25.073 200 ms;1;0;0;1
25.073 600 ms;1;1;0;1
25.074 200 ms;1;0;0;1
25.074 600 ms;1;1;0;1
25.075 200 ms;1;0;0;1
25.075 600 ms;1;1;0;1
25.078 000 ms;1;1;1;1
45.086 601 ms;1;1;0;1
45.087 601 ms;0;0;0;1
45.088 001 ms;0;1;0;1
45.088 601 ms;0;0;0;1
45.089 001 ms;0;1;0;1
45.089 601 ms;0;0;0;1
45.090 001 ms;0;1;0;1
45.090 601 ms;0;0;0;1
45.091 001 ms;0;1;0;1
45.091 601 ms;0;0;0;1
45.092 001 ms;0;1;0;1
45.092 601 ms;0;0;0;1
45.093 001 ms;0;1;0;1
45.093 601 ms;1;0;0;1
45.094 001 ms;1;1;0;1
45.094 601 ms;1;0;0;1
45.095 001 ms;1;1;0;1
45.098 001 ms;0;0;0;1
45.098 601 ms;0;1;0;1
45.099 001 ms;0;0;0;1
45.099 601 ms;0;1;0;1
45.100 001 ms;0;0;0;1
45.100 601 ms;0;1;0;1
45.101 001 ms;0;0;0;1
45.101 601 ms;0;1;0;1
45.102 001 ms;0;0;0;1
45.102 601 ms;0;1;0;1
45.103 001 ms;0;0;0;1
45.103 601 ms;0;1;0;1
45.104 001 ms;0;0;0;1
45.104 601 ms;0;1;0;1
45.105 001 ms;0;0;0;1
45.105 601 ms;0;1;0;1
45.106 601 ms;1;1;0;1
45.107 601 ms;0;1;0;1
45.108 601 ms;0;0;0;1
45.109 201 ms;0;1;0;1
45.109 601 ms;0;0;0;1
45.110 201 ms;0;1;0;1
45.110 601 ms;0;0;0;1
45.111 201 ms;0;1;0;1
45.111 601 ms;0;0;0;1
45.112 201 ms;0;1;0;1
45.112 601 ms;0;0;0;1
45.113 201 ms;0;1;0;1
45.113 601 ms;0;0;0;1
45.114 201 ms;0;1;0;1
45.114 601 ms;0;0;0;1
45.115 201 ms;0;1;0;1
45.115 601 ms;0;0;0;1
45.116 201 ms;0;1;0;1
45.117 201 ms;1;1;0;1
45.118 201 ms;0;1;0;1
45.119 201 ms;0;0;0;1
45.119 601 ms;0;1;0;1
45.120 201 ms;0;0;0;1
45.120 601 ms;0;1;0;1
45.121 201 ms;0;0;0;1
45.121 601 ms;0;1;0;1
45.122 201 ms;0;0;0;1
45.122 601 ms;0;1;0;1
45.123 201 ms;0;0;0;1
45.123 601 ms;0;1;0;1
45.124 201 ms;0;0;0;1
45.124 601 ms;0;1;0;1
45.125 201 ms;0;0;0;1
45.125 601 ms;0;1;0;1
45.126 201 ms;0;0;0;1
45.126 601 ms;0;1;0;1
45.127 601 ms;1;1;0;1
45.128 801 ms;0;1;0;1
45.129 801 ms;1;0;0;1
45.130 201 ms;1;1;0;1
45.130 801 ms;1;0;0;1
45.131 201 ms;1;1;0;1
45.131 801 ms;1;0;0;1
45.132 201 ms;1;1;0;1
45.132 801 ms;1;0;0;1
45.133 201 ms;1;1;0;1
45.133 801 ms;1;0;0;1
45.134 201 ms;1;1;0;1
45.134 801 ms;1;0;0;1
45.135 201 ms;1;1;0;1
45.135 801 ms;1;0;0;1
45.136 201 ms;1;1;0;1
45.136 801 ms;1;0;0;1
45.137 201 ms;1;1;0;1
45.140 201 ms;1;0;0;1
45.140 801 ms;1;1;0;1
45.141 201 ms;1;0;0;1
45.141 801 ms;1;1;0;1
45.142 201 ms;1;0;0;1
45.142 801 ms;1;1;0;1
45.143 201 ms;1;0;0;1
45.143 801 ms;1;1;0;1
45.144 201 ms;1;0;0;1
45.144 801 ms;1;1;0;1
45.145 201 ms;1;0;0;1
45.145 801 ms;1;1;0;1
